plate id,star id,x pixel,y pixel,longitude,latitude,longitude error,latitude error
1,26,198.89878048926013,1256.6006519543992,4.647315129222058,-0.09997977598704316,3.64243005431859e-09,3.64243005431859e-09
1,85,844.9211140119312,1368.501223540779,4.648686383726109,-0.09985578904535175,3.636252790095388e-09,3.636252790095388e-09
1,89,1293.7868745045353,834.5420085415132,4.649534778713768,-0.10104998362608308,3.6353817976927853e-09,3.6353817976927853e-09
1,101,664.3969307940204,1340.5363673883614,4.6483037648434316,-0.09988351920843082,3.635920408268212e-09,3.635920408268212e-09
1,130,1075.811129504032,648.7749401720196,4.649046846636429,-0.10140161264114111,3.6305303345312825e-09,3.6305303345312825e-09
1,148,1425.1980699463224,489.68035193814654,4.64975098793131,-0.10179422068684957,3.6435648924041862e-09,3.6435648924041862e-09
1,150,413.7590209609807,1675.094613147936,4.6478362493116085,-0.09914050475864798,3.634972621936819e-09,3.634972621936819e-09
1,151,1435.7563866054948,718.6950021092803,4.649812162629429,-0.10131668149936572,3.6407416316810597e-09,3.6407416316810597e-09
1,157,152.61298366431322,1522.0083051017264,4.647263535498317,-0.09941636516719114,3.6249402860080007e-09,3.6249402860080007e-09
1,194,411.311239738017,190.00261980500855,4.647577732691007,-0.10224846916779146,3.643277322627446e-09,3.643277322627446e-09
1,204,577.5754029628247,1361.4446053839592,4.6481256099049535,-0.09982494318513034,3.6516947183203706e-09,3.6516947183203706e-09
1,223,1624.5944404902943,483.3563210566567,4.650167256847366,-0.10184147917578719,3.640387796278716e-09,3.640387796278716e-09
1,282,1819.2251425274399,660.4926343556521,4.650604853801772,-0.10150393158291107,3.4519570502288896e-09,3.4519570502288896e-09
1,300,1254.5117622209184,1077.9682013879544,4.649494108173182,-0.10053377744911077,3.6406822120258683e-09,3.6406822120258683e-09
1,306,1471.514099830805,1736.26982705026,4.650060628888509,-0.09919294062569935,3.6469132920541857e-09,3.6469132920541857e-09
1,370,455.8716456949055,439.70143282431326,4.6477136049248156,-0.10173343844428072,3.635664582736967e-09,3.635664582736967e-09
1,398,1704.777865315955,1477.5882755447615,4.6505047257804755,-0.09977417637916045,3.6495321011476086e-09,3.6495321011476086e-09
1,427,877.2189405901969,1412.0743120678544,4.648761419557461,-0.09977009889603554,3.644616898666728e-09,3.644616898666728e-09
1,431,323.898851716833,905.4509149571229,4.647516846690348,-0.10073608046222708,3.63250334205725e-09,3.63250334205725e-09
1,447,607.4951425574717,489.44790065350105,4.648039449505651,-0.10165518695935684,3.6439749443583326e-09,3.6439749443583326e-09
1,490,140.09389046466978,1395.0040115080474,4.647215662262884,-0.09968005631601747,3.639282218329996e-09,3.639282218329996e-09
1,510,1174.0135457557176,1485.7521502530064,4.649395198811149,-0.09966652745795078,3.6387842108933895e-09,3.6387842108933895e-09
1,538,1720.618412040609,168.8884658509551,4.650314584522548,-0.10251606234840863,3.636988788156215e-09,3.636988788156215e-09
1,567,1730.068160535671,1301.9275536509267,4.650527687761609,-0.10014615941452441,3.642342127132816e-09,3.642342127132816e-09
1,574,139.8364414936101,638.9319176839716,4.647086118884586,-0.10126251431046988,3.6238731333594058e-09,3.6238731333594058e-09
1,591,1040.7143989666233,1741.9266574805918,4.649159905791746,-0.09910759551714428,3.629392115320377e-09,3.629392115320377e-09
1,625,1466.8656643406878,1561.6204594693377,4.650021099964366,-0.09955769855401182,3.640238433812943e-09,3.640238433812943e-09
1,640,626.6900174536422,639.2239648757883,4.648105180957094,-0.10134497225142551,3.634998709163474e-09,3.634998709163474e-09
1,665,848.1819456371301,1595.6763226907478,4.648731970500024,-0.09938085501214672,3.6359896946156645e-09,3.6359896946156645e-09
1,683,1426.9425278050212,1099.7434511243698,4.649858730972825,-0.10051762154811306,3.640857312079661e-09,3.640857312079661e-09
1,741,1674.097747925577,1190.9186799020765,4.650391597654396,-0.10036895737389741,3.6265804879970446e-09,3.6265804879970446e-09
1,747,717.5930839204501,1801.1724629308787,4.648493703283793,-0.09892845821902176,3.6496031313232387e-09,3.6496031313232387e-09
1,751,1266.8055714726702,416.58734372334607,4.649406991950001,-0.10192018285107723,3.6272430002165527e-09,3.6272430002165527e-09
1,752,805.8992848488264,1269.9538537181468,4.648587894208146,-0.1000553962136215,3.6358920273116557e-09,3.6358920273116557e-09
1,756,216.8508761176328,1597.3375317253299,4.647410842084687,-0.0992696573755421,3.631979513272608e-09,3.631979513272608e-09
1,759,1496.6678912550115,808.5353740002093,4.649954982855641,-0.1011390334911251,3.640773521015022e-09,3.640773521015022e-09
1,774,394.946385055326,1091.4304265795213,4.647697285906822,-0.10035893721927094,3.632397985664977e-09,3.632397985664977e-09
1,779,511.1439787031419,1322.8098200300774,4.647979973107223,-0.09989447315230757,3.6434198823299847e-09,3.6434198823299847e-09
1,792,1741.886244900655,318.2570679401445,4.650384585269908,-0.10220705417960138,3.633212971077172e-09,3.633212971077172e-09
1,802,583.3350173698732,791.6368358106878,4.64804044186457,-0.1010185660075654,3.63930504968984e-09,3.63930504968984e-09
1,842,1000.9872818955807,173.77391260302866,4.648809189189406,-0.10238305003339472,3.62467895011801e-09,3.62467895011801e-09
1,846,1066.0023169344952,517.9046010335112,4.649003986530001,-0.10167385808395106,3.6366258665908803e-09,3.6366258665908803e-09
1,866,1601.6328270767592,467.53242277518467,4.650116496936887,-0.10187068167860833,3.6496705980147976e-09,3.6496705980147976e-09
1,896,493.9141003626227,1507.165429824498,4.647975365599398,-0.099505666527394,3.6254221530026784e-09,3.6254221530026784e-09
1,900,1361.3090331193112,848.0178745414938,4.649678405749218,-0.10103329881509421,3.639487149833305e-09,3.639487149833305e-09
1,930,643.8825043884251,1322.9187941775697,4.648257820989507,-0.09991689352534303,3.63412849763382e-09,3.63412849763382e-09
1,960,1082.5999713491112,1635.2651041092925,4.649229375590196,-0.09933799092900548,3.652529430459272e-09,3.652529430459272e-09
1,997,206.57135227239888,579.2697897111917,4.647215619022187,-0.10139877715938816,3.646559804005268e-09,3.646559804005268e-09
